codelettres	numero	categorie	compositeurs	oeuvres	interpretes	remarques
alb	1	classique	Albeniz, Isaac	Iberia	Yvonne Loriod	
ala	1	classique	Alain, Jehan	L'oeuvre pour orgue Vol. 1	Marie-Claire Alain	
ala	2	classique	Alain, Jehan	L'oeuvre pour orgue Vol. 2	Marie-Claire Alain	
ada	2	classique	Adams, John	The Chairman Dances	San Francisco Symphony - Edo de Waart	
alb	2	classique	Albeniz, Isaac	Iberia	Alicia de Larrocha	Coffret - CD n°1 manquant
alb	6	classique	Albeniz, Isaac	Iberia - Chants d'Espagne - Suite espagnole	Ricardo Requejo	
albe	1	classique	Albert, Heinrich	Lieder von Liebe und Tod	Cantus Cölln, Konrad Junghänel	
alfv	3	classique	Alfven, Hugo	Symphony n°4 Op. 39, En skargardssagen	Stockholm Philharmonic Orchestra, Neeme Järvi	
alfo	1	classique	Alfonso x el sabio	Cantigas de Santa Maria	La Capella reial de Catalunya, Jordi Savall	
alfv	1	classique	Alfven, Hugo	Midsummer Vigil, The Mountain King, The Prodigal Son	Stockholm Philharmonic Orchestra, Stig Westerberg	
alfv	2	classique	Alfven, Hugo	The Prodigal Son, Midsummer Vigil, Songs, Violin Sonata	Interprètes variés	
ali	3	classique	Albinoni, Tomaso	Concerti per Oboe	Heinz Holliger, Hans Elhorst, Camerata Bern	
ali	5	classique	Albinoni, Tomaso	Sonate da chiesa op 4, Trattenimenti Armonici op 6	The Locatelli Trio	Coffret - 2 CD
alka	1	classique	Alkan, Charles	Pièces pour piano	Bernard Ringeissen	
alka	2	classique	Alkan, Charles	Grande Sonate pour piano Op. 33, Sonatine pour piano, Op. 61	Pierre Réach	
alka	3	classique	Alkan, Charles	Concerto pour piano seul	Marc-André Hamelin	
all	1	classique	Allegri, Gregorio	Miserere	Choir of Westminster Cathedral, Stephen Cleobury	
all	2	classique	Allegri - Palestrina	Miserere - Stabat Mater	Choir of King's College, Cambridge, Sir David Willcocks	boîte cassée
all	3	classique	Allegri, Gregorio	Miserere/Messe - Motets	A sei voci	
all	4	classique	Allegri, Gregorio	Miserere/Messe - Motets	A sei voci	
ang	1	classique	D'Anglebert	Pièces pour clavier	Scott Ross (clavecin, orgue)	Coffret - 2 CD
arn	1	classique	Arne, Thomas	The Six Organ Concertos	Roger Bevan Williams (orgue), Adrian Shepherd (chef d'orchestre)	Coffret - 2 CD
arn	2	classique	Arne, Thomas	Four Symphonies	Cantilena, Adrian Shepherd	
arno	1	classique	Arnold, Malcolm	Symphony No. 4	London Philharmonic Orchestra, Malcolm Arnold	
arno	2	classique	Arnold, Malcolm	Symphonies N° 7 et 8	Royal Philharmonic Orchestra, Vernon Handley	
arno	3	classique	Arnold, Malcolm	Symphonies N° 2 et 5 - Peterloo Overture	Sir Charles Grove, Malcolm Arnold	
art	1	classique	Artyomov, Vyacheslav	Elegies	Interprètes variés	
atte	1	classique	Atterberg, Kurt	Violin Sonata - Trio Concertante	Interprètes variés	
bala	1	classique	Balakirev, M.	King Lear, Suite in B minor, Overture on the theme of Spanish March	Evgeni Svetlanov	
bala	2	classique	Balakirev, M.	Symphony N° 2 - Tamara - In Bohemia	Evgeni Svetlanov	
bant	1	classique	Bantock, Sir Granville	Pagan Symphony - Fifine at the Fair - Two Heroic Ballads	Royal Philharmonic Orchestra, Vernon Handley	
bch	1	classique	Bach, Johann-Michaël et Johann-Christoph et Johann	Motetten	Collegium Vocale Gent	
bch	2	classique	Bach, Johann Michaël et Georg Christoph et Johann Christoph	Kantaten aus dem alt-bachischen Archiv	Capella Fidicina, Hans Grüss	
bch	3	classique	Bach, Carl Philipp Emmanuel	Sämtliche Flötensonaten	Konrad Hünteler, Anner Bylsma, Jacques Ogg	Coffret - 2 CD
bch	4	classique	Bach, Carl Philipp Emmanuel	Concerti a violoncello	Julius Berger, Jack Martin Händler	
bch	5	classique	Bach, Carl Philipp Emmanuel	Cello Concertos	Anner Bylsma, Gustav Leonhardt	
bch	6	classique	Bach, Carl Philipp Emmanuel	Markus-Passion	Helmuth Rilling	Coffret - 2 CD
bch	7	classique	Bach, Carl Philipp Emmanuel	Die letzten Leiden des Erlösers	La petite Bande, Sigiswald Kuijken	Coffret - 2 CD
jsb	1	classique	Bach, Jean-Sébastien	Brandenburgische Konzerte 1-2-3	The English Concert, Trevor Pinnock	
jsb	2	classique	Bach, Jean-Sébastien	Brandenburgische Konzerte 4-5-6	The English Concert, Trevor Pinnock	
jsb	4	classique	Bach, Jean-Sébastien	The Goldberg Variations	Glenn Gould	
